index,STARTSTATIONNAME,ENDSTATIONNAME,NUMBEROFTRIPS,DELTATIME,STARTSTATIONID,ENDSTATIONID
11640,Robert-Bourassa / René-Lévesque,de la Montagne / Notre-Dame,15,0 days 00:06:57.774466666,873,291
11641,de la Commune / King,St-Antoine / Jean-Paul Riopelle,5,0 days 00:06:57.676600,51,39
11642,Calixa-Lavallée / Rachel,Métro Papineau (Dorion / De Maisonneuve),3,0 days 00:06:57.594000,143,103
11643,de Bleury / de Maisonneuve,de Maisonneuve / Mansfield (sud-est),4,0 days 00:06:57.486000,462,421
11644,des Pins / St-Laurent,de l'Hôtel-de-Ville / Rachel,50,0 days 00:06:57.461080,209,309
11645,Berri / Rachel,Métro Mont-Royal (Utilités publiques / Rivard),44,0 days 00:06:57.456113636,545,347
11646,de Maisonneuve / Mansfield (sud-est),Clark / Ontario,3,0 days 00:06:56.912333333,421,3
11647,de Maisonneuve / Aylmer (est),Métro Peel (de Maisonneuve / Stanley),20,0 days 00:06:56.740150,106,62
11648,Place Valois (Valois / Ontario),Aylwin / Ontario,49,0 days 00:06:56.650795918,676,325
11649,Clark / Ontario,St-Hubert / de Maisonneuve (nord),3,0 days 00:06:56.642666666,3,594
11650,Parc Jeanne-Mance (du Mont-Royal / du Parc),du Mont-Royal / Clark,24,0 days 00:06:56.369250,220,218
11651,Square Victoria (Viger / du Square-Victoria),Métro Champ-de-Mars (Viger / Sanguinet),1,0 days 00:06:56.359000,42,1
11652,Richmond / des Bassins,William / Robert-Bourassa,26,0 days 00:06:55.958884615,581,575
11653,St-Antoine / de la Montagne,Georges-Vanier / Notre-Dame,2,0 days 00:06:55.951000,305,303
11654,Place du Canada (Peel / des Canadiens-de-Montréal),William / Robert-Bourassa,4,0 days 00:06:55.833750,55,575
11655,St-Antoine / de la Montagne,William / Robert-Bourassa,2,0 days 00:06:55.827500,305,575
11656,de la Commune / St-Sulpice,Robert-Bourassa / St-Maurice,1,0 days 00:06:55.750000,35,49
11657,Laurier / St-Denis,Marmier / St-Denis,78,0 days 00:06:55.726384615,558,168
11658,Parc Jeanne-Mance (monument sir George-Étienne-Cartier),de l'Hôtel-de-Ville / Rachel,18,0 days 00:06:55.291444444,214,309
11659,Duke / Nazareth,Square Victoria (Viger / du Square-Victoria),39,0 days 00:06:55.116000,76,42
11660,Ste-Catherine / Drummond,McTavish / Sherbrooke,18,0 days 00:06:55.051888888,60,608
11661,Roy / St-André,René-Lévesque / Panet,5,0 days 00:06:55.042000,43,94
11662,Square Victoria (Viger / du Square-Victoria),Cathcart / McGill College,2,0 days 00:06:54.770000,42,59
11663,BAnQ (Berri),Jeanne-Mance / Sherbrooke,1,0 days 00:06:54.765000,836,122
11664,de la Montagne / Notre-Dame,de la Commune / King,5,0 days 00:06:54.686600,291,51
11665,McTavish / Sherbrooke,St-Antoine / Jean-Paul Riopelle,9,0 days 00:06:54.509555555,608,39
11666,Clark / de l'Arcade,St-Viateur / Casgrain,12,0 days 00:06:54.377000,228,532
11667,Métro Champ-de-Mars (Viger / Sanguinet),Clark / Ontario,3,0 days 00:06:54.297000,1,3
11668,St-Hubert / de Maisonneuve (sud),Complexe Desjardins (St-Urbain / René-Lévesque),30,0 days 00:06:54.211866666,822,888
11669,Métro Lucien-L'Allier (Lucien l'Allier / Argyle),Georges-Vanier / Notre-Dame,2,0 days 00:06:53.918500,79,303
11670,Berri / Rachel,des Pins / St-Laurent,78,0 days 00:06:53.843782051,545,209
11671,du Parc-Lafontaine / Rachel,St-Hubert / de Maisonneuve (nord),3,0 days 00:06:53.274666666,176,594
11672,des Pins / St-Laurent,du Mont-Royal / Clark,76,0 days 00:06:52.662276315,209,218
11673,Gare d'autocars de Montréal (Berri / Ontario),René-Lévesque / Papineau,42,0 days 00:06:52.545976190,740,95
11674,Métro Sherbrooke (de Rigaud / Berri),Square Viger (Berri / Viger),12,0 days 00:06:52.507416666,19,839
11675,Rachel / de Brébeuf,des Érables / Rachel,16,0 days 00:06:52.220437500,144,142
11676,Notre-Dame / St-Gabriel,René-Lévesque / Papineau,1,0 days 00:06:52.110000,24,95
11677,Parc Villeray (Christophe-Colomb / Jarry),Lanaudière / Jean-Talon,1,0 days 00:06:52.020000,342,271
11678,de Maisonneuve / Mansfield (nord),Clark / Ontario,11,0 days 00:06:51.902545454,559,3
11679,St-Grégoire / Christophe-Colomb,St-Viateur / Casgrain,70,0 days 00:06:51.840700,166,532
11680,Clark / Ontario,McTavish / Sherbrooke,17,0 days 00:06:51.690470588,3,608
11681,Métro Place-d'Armes (Viger / St-Urbain),Place du Canada (Peel / des Canadiens-de-Montréal),2,0 days 00:06:51.684500,31,55
11682,Cathcart / McGill College,William / Robert-Bourassa,4,0 days 00:06:51.435250,59,575
11683,Calixa-Lavallée / Rachel,Calixa-Lavallée / Rachel,20,0 days 00:06:51.233700,143,143
11684,Clark / Ontario,de Maisonneuve / Mansfield (nord),3,0 days 00:06:50.962000,3,559
11685,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),7,0 days 00:06:50.913142857,797,797
11686,Clark / Ontario,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),5,0 days 00:06:50.789000,3,823
11687,Métro Laurier (Berri / St-Joseph),du Mont-Royal / de Brébeuf,30,0 days 00:06:50.642433333,537,157
11688,Ste-Catherine / Bishop,Métro Peel (de Maisonneuve / Stanley),67,0 days 00:06:50.616656716,87,62
11689,Molson / Wiliam-Tremblay,Messier / St-Joseph,5,0 days 00:06:50.607800,886,752
11690,Robert-Bourassa / St-Maurice,Richmond / des Bassins,3,0 days 00:06:49.797000,49,581
11691,de la Montagne / Notre-Dame,Ste-Catherine / Drummond,3,0 days 00:06:49.726666666,291,60
11692,Cartier / Marie-Anne,Calixa-Lavallée / Rachel,8,0 days 00:06:49.402000,544,143
11693,Ottawa / du Séminaire,St-Jacques / Vinet,1,0 days 00:06:49.056000,381,304
11694,St-Jacques / McGill,Ottawa / du Séminaire,25,0 days 00:06:48.964000,40,381
11695,Georges-Vanier / Notre-Dame,de la Montagne / Notre-Dame,15,0 days 00:06:48.556400,303,291
11696,Stanley / René-Lévesque,McTavish / Sherbrooke,8,0 days 00:06:48.467500,57,608
11697,St-Jacques / McGill,de Maisonneuve / Aylmer (est),3,0 days 00:06:48.231000,40,106
11698,de Maisonneuve / Mansfield (sud-est),Place du Canada (Peel / des Canadiens-de-Montréal),2,0 days 00:06:48.174500,421,55
11699,Gare d'autocars de Montréal (Berri / Ontario),Square Viger (Berri / Viger),15,0 days 00:06:47.780533333,740,839
11700,Parc Jeanne-Mance (monument sir George-Étienne-Cartier),Parc Jeanne-Mance (du Mont-Royal / du Parc),32,0 days 00:06:47.713906250,214,220
11701,Clark / Ontario,des Pins / St-Laurent,31,0 days 00:06:47.575967741,3,209
11702,Parc Jeanne-Mance (monument sir George-Étienne-Cartier),Jeanne-Mance / Sherbrooke,30,0 days 00:06:47.458766666,214,122
11703,de Maisonneuve / Mackay,Cathcart / McGill College,30,0 days 00:06:47.238800,89,59
11704,Viger / Chenneville,de Maisonneuve / Aylmer (est),1,0 days 00:06:46.844000,34,106
11705,Viger / Chenneville,St-Antoine / de la Montagne,1,0 days 00:06:46.316000,34,305
11706,Métro Peel (de Maisonneuve / Stanley),St-Antoine / de la Montagne,7,0 days 00:06:46.202571428,62,305
11707,du Parc-Lafontaine / Rachel,des Érables / Rachel,48,0 days 00:06:46.035166666,176,142
11708,Métro Mont-Royal (Utilités publiques / Rivard),du Mont-Royal / Clark,70,0 days 00:06:45.846585714,347,218
11709,St-Jacques / Richmond,Métro Georges-Vanier (St-Antoine / Canning),1,0 days 00:06:45.090000,673,308
11710,Robert-Bourassa / St-Maurice,Smith / Peel,23,0 days 00:06:45.015000,49,641
11711,Rachel / de Brébeuf,de l'Hôtel-de-Ville / Rachel,30,0 days 00:06:44.939133333,144,309
11712,Molson / Wiliam-Tremblay,Masson / Molson,36,0 days 00:06:44.654250,886,780
11713,Jeanne-Mance / René-Lévesque,René-Lévesque / Panet,1,0 days 00:06:44.054000,582,94
11714,de la Montagne / Notre-Dame,Duke / Nazareth,1,0 days 00:06:43.964000,291,76
11715,Square Viger (Berri / Viger),Jeanne-Mance / René-Lévesque,5,0 days 00:06:43.957800,839,582
11716,de la Porte de Québec / St-André,St-Hubert / de Maisonneuve (sud),11,0 days 00:06:43.565727272,11,822
11717,St-Hubert / du Mont-Royal,Cartier / Marie-Anne,93,0 days 00:06:43.545763440,187,544
11718,de Bleury / de Maisonneuve,St-Jacques / McGill,16,0 days 00:06:43.163437500,462,40
11719,Richmond / des Bassins,Métro Lucien-L'Allier (Lucien l'Allier / Argyle),6,0 days 00:06:42.198166666,581,79
11720,Place d'Youville / McGill,Smith / Peel,36,0 days 00:06:42.137444444,37,641
11721,Smith / Peel,Place du Canada (Peel / des Canadiens-de-Montréal),41,0 days 00:06:42.133146341,641,55
11722,de Maisonneuve / Aylmer (ouest),CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),23,0 days 00:06:41.452434782,68,823
11723,de Maisonneuve / Aylmer (ouest),St-Antoine / Jean-Paul Riopelle,9,0 days 00:06:41.283444444,68,39
11724,Robert-Bourassa / René-Lévesque,Ste-Catherine / Bishop,11,0 days 00:06:41.187272727,873,87
11725,Georges-Vanier / Notre-Dame,Atwater / Greene,2,0 days 00:06:40.832000,303,548
11726,William / Robert-Bourassa,des Bassins / du Séminaire,13,0 days 00:06:40.815615384,575,290
11727,Georges-Vanier / Notre-Dame,St-Antoine / de la Montagne,11,0 days 00:06:39.494727272,303,305
11728,William / Robert-Bourassa,Place du Canada (Peel / des Canadiens-de-Montréal),1,0 days 00:06:39.491000,575,55
11729,Berri / Rachel,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),5,0 days 00:06:39.292800,545,823
11730,St-Jacques / Richmond,de la Montagne / Notre-Dame,1,0 days 00:06:39.256000,673,291
11731,Métro Peel (de Maisonneuve / Stanley),de Maisonneuve / Mansfield (nord),3,0 days 00:06:38.858000,62,559
11732,Peel / Notre-Dame,Métro Lucien-L'Allier (Lucien l'Allier / Argyle),1,0 days 00:06:38.621000,77,79
11733,Métro Lucien-L'Allier (Lucien l'Allier / Argyle),Ottawa / William,20,0 days 00:06:38.175700,79,563
11734,Place d'Youville / McGill,Peel / Notre-Dame,5,0 days 00:06:37.689200,37,77
11735,Robert-Bourassa / St-Maurice,St-Antoine / de la Montagne,3,0 days 00:06:37.678000,49,305
11736,de Bleury / de Maisonneuve,McTavish / Sherbrooke,30,0 days 00:06:37.538600,462,608
11737,Ste-Catherine / Bishop,St-Jacques / Richmond,2,0 days 00:06:37.265000,87,673
11738,St-Antoine / Jean-Paul Riopelle,Notre-Dame / St-Gabriel,1,0 days 00:06:36.826000,39,24
11739,Métro Sherbrooke (de Rigaud / Berri),René-Lévesque / Papineau,1,0 days 00:06:36.690000,19,95
11740,Notre-Dame / St-Gabriel,Duke / Nazareth,5,0 days 00:06:36.676600,24,76
11741,St-Viateur / Casgrain,St-Grégoire / Christophe-Colomb,57,0 days 00:06:36.664438596,532,166
11742,Laurier / St-Denis,de l'Hôtel-de-Ville / Rachel,41,0 days 00:06:36.458975609,558,309
11743,McTavish / Sherbrooke,Clark / Ontario,11,0 days 00:06:36.114636363,608,3
11744,de Maisonneuve / Aylmer (est),Robert-Bourassa / St-Maurice,4,0 days 00:06:36.064250,106,49
11745,Métro Lucien-L'Allier (Lucien l'Allier / Argyle),Ste-Catherine / Towers,9,0 days 00:06:35.878444444,79,86
11746,Parc Jeanne-Mance (monument sir George-Étienne-Cartier),St-Urbain / Laurier,68,0 days 00:06:35.468926470,214,437
11747,de la Montagne / Notre-Dame,St-Jacques / Vinet,3,0 days 00:06:35.424000,291,304
11748,St-Hubert / de Maisonneuve (sud),Roy / St-André,14,0 days 00:06:35.246000,822,43
11749,Ball / Bloomfield,Métro Parc  (Hutchison / Ogilvy),43,0 days 00:06:35.041651162,514,408
11750,6e avenue / Villeray,Cité des Arts du Cirque (Paul Boutet / des Regrattiers),1,0 days 00:06:34.912000,492,453
11751,St-Antoine / de la Montagne,Richmond / des Bassins,35,0 days 00:06:34.873000,305,581
11752,Métro Laurier (Berri / St-Joseph),Rachel / de Brébeuf,1,0 days 00:06:34.672000,537,144
11753,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),Marché Maisonneuve,250,0 days 00:06:34.647384,388,330
11754,Place d'Youville / McGill,Métro Champ-de-Mars (Viger / Sanguinet),2,0 days 00:06:34.511000,37,1
11755,St-Denis / de Maisonneuve,Métro Champ-de-Mars (Viger / Sanguinet),8,0 days 00:06:34.461125,15,1
11756,McTavish / Sherbrooke,Cathcart / McGill College,4,0 days 00:06:34.381250,608,59
11757,Place d'Youville / McGill,de la Montagne / Notre-Dame,11,0 days 00:06:34.333181818,37,291
11758,Métro Atwater (Atwater / Ste-Catherine),Atwater / Greene,18,0 days 00:06:34.300166666,83,548
11759,Gary-Carter / St-Laurent,Métro Parc  (Hutchison / Ogilvy),24,0 days 00:06:34.273958333,396,408
11760,Square Viger (Berri / Viger),Métro St-Laurent ( de Maisonneuve / St-Laurent),3,0 days 00:06:34.095666666,839,834
11761,15e avenue / Laurier,15e avenue / Laurier,18,0 days 00:06:33.775055555,378,378
11762,Métro St-Laurent ( de Maisonneuve / St-Laurent),Square Viger (Berri / Viger),1,0 days 00:06:33.567000,834,839
11763,Atwater / Sherbrooke,Marché Atwater,3,0 days 00:06:33.319000,126,306
11764,St-Jacques / Richmond,St-Jacques / Richmond,5,0 days 00:06:33.208200,673,673
11765,St-Hubert / du Mont-Royal,Rachel / de Brébeuf,7,0 days 00:06:33.196142857,187,144
11766,Berri / Rachel,BAnQ (Berri),32,0 days 00:06:32.675906250,545,836
11767,Roy / St-André,St-Denis / de Maisonneuve,52,0 days 00:06:32.597519230,43,15
11768,Milton / St-Laurent,Métro Place-d'Armes (Viger / St-Urbain),42,0 days 00:06:32.577547619,207,31
11769,de la Porte de Québec / St-André,BAnQ (Berri),2,0 days 00:06:32.569000,11,836
11770,Roy / St-André,Gare d'autocars de Montréal (Berri / Ontario),11,0 days 00:06:32.537272727,43,740
11771,Métro Acadie (de l'Acadie / Beaumont),Ball / Bloomfield,3,0 days 00:06:32.478666666,501,514
11772,McTavish / Sherbrooke,Stanley / René-Lévesque,25,0 days 00:06:32.430000,608,57
11773,Roy / St-André,Émile-Duployé / Sherbrooke,22,0 days 00:06:32.085863636,43,148
11774,Métro Lucien-L'Allier (Lucien l'Allier / Argyle),St-Antoine / Jean-Paul Riopelle,1,0 days 00:06:31.475000,79,39
11775,de la Commune / St-Sulpice,Square Viger (Berri / Viger),2,0 days 00:06:31.228000,35,839
11776,Ste-Catherine / Bishop,McTavish / Sherbrooke,109,0 days 00:06:30.857330275,87,608
11777,Ste-Catherine / Bishop,Ottawa / du Séminaire,10,0 days 00:06:30.750700,87,381
11778,St-Antoine / de la Montagne,Smith / Peel,43,0 days 00:06:30.533441860,305,641
11779,St-Hubert / de Maisonneuve (nord),Clark / Ontario,4,0 days 00:06:30.405750,594,3
11780,McTavish / Sherbrooke,Jeanne-Mance / Sherbrooke,42,0 days 00:06:30.347023809,608,122
11781,William / Robert-Bourassa,Smith / Peel,19,0 days 00:06:30.271526315,575,641
11782,Notre-Dame  / St-Martin,Marché Atwater,16,0 days 00:06:30.136500,301,306
11783,Square Viger (Berri / Viger),St-Hubert / de Maisonneuve (nord),5,0 days 00:06:29.926400,839,594
11784,de Maisonneuve / Mansfield (sud),de Maisonneuve / Aylmer (ouest),2,0 days 00:06:29.461500,26,68
11785,de la Commune / St-Sulpice,de la Commune / Berri,23,0 days 00:06:29.435086956,35,22
11786,Richmond / des Bassins,St-Antoine / de la Montagne,14,0 days 00:06:29.316214285,581,305
11787,William / Robert-Bourassa,Richmond / des Bassins,40,0 days 00:06:29.003725,575,581
11788,Notre-Dame / St-Gabriel,Métro St-Laurent ( de Maisonneuve / St-Laurent),2,0 days 00:06:28.722000,24,834
11789,Métro Place-d'Armes (Viger / St-Urbain),Milton / St-Laurent,3,0 days 00:06:28.711333333,31,207
11790,Masson / Molson,Molson / Wiliam-Tremblay,50,0 days 00:06:28.582320,780,886
11791,de la Commune / Berri,de la Commune / Place Jacques-Cartier,5,0 days 00:06:28.205600,22,25
11792,du Mont-Royal / de Brébeuf,Berri / Rachel,37,0 days 00:06:27.967810810,157,545
11793,Pierre-de-Coubertin / Aird,Marché Maisonneuve,52,0 days 00:06:26.855096153,647,330
11794,Atwater / Sherbrooke,Atwater / Greene,9,0 days 00:06:26.840222222,126,548
11795,Ste-Émilie / Sir-Georges-Etienne-Cartier,Marché Atwater,41,0 days 00:06:26.678756097,302,306
11796,Molson / Wiliam-Tremblay,Omer-Lavallée / du Midway,6,0 days 00:06:26.542166666,886,385
11797,Émile-Duployé / Sherbrooke,des Érables / Rachel,39,0 days 00:06:26.262384615,148,142
11798,Métro Frontenac (Ontario / du Havre),de Maisonneuve / Fullum,32,0 days 00:06:26.191625,109,97
11799,Marché Maisonneuve,Ste-Catherine / St-Clément,20,0 days 00:06:25.645800,330,69
11800,Omer-Lavallée / du Midway,de Chambly / de Rouen,2,0 days 00:06:25.636000,385,850
11801,Marché Maisonneuve,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),147,0 days 00:06:25.498319727,330,388
11802,Ottawa / William,Métro Lucien-L'Allier (Lucien l'Allier / Argyle),7,0 days 00:06:24.955000,563,79
11803,Square Victoria (Viger / du Square-Victoria),Place d'Youville / McGill,52,0 days 00:06:24.700192307,42,37
11804,de Maisonneuve / Mansfield (sud-est),Peel / Notre-Dame,7,0 days 00:06:24.454571428,421,77
11805,de l'Hôtel-de-Ville / Rachel,Roy / St-André,28,0 days 00:06:23.826428571,309,43
11806,St-Hubert / du Mont-Royal,Calixa-Lavallée / Rachel,9,0 days 00:06:23.427222222,187,143
11807,Parc St-Henri (Laporte / Guay),St-Jacques / Vinet,2,0 days 00:06:23.424500,427,304
11808,Métro Georges-Vanier (St-Antoine / Canning),Ste-Catherine / Bishop,2,0 days 00:06:23.360000,308,87
11809,Cartier / Marie-Anne,Messier / St-Joseph,19,0 days 00:06:22.984842105,544,752
11810,Roy / St-André,de l'Hôtel-de-Ville / Rachel,28,0 days 00:06:22.911535714,43,309
11811,William / Robert-Bourassa,Métro Place-d'Armes (Viger / St-Urbain),13,0 days 00:06:22.362769230,575,31
11812,Stanley / René-Lévesque,St-Antoine / de la Montagne,1,0 days 00:06:22.206000,57,305
11813,de Maisonneuve / Aylmer (est),Place du Canada (Peel / des Canadiens-de-Montréal),1,0 days 00:06:22.201000,106,55
11814,des Érables / Rachel,Émile-Duployé / Sherbrooke,16,0 days 00:06:22.148250,142,148
11815,Métro Lucien-L'Allier (Lucien l'Allier / Argyle),de Maisonneuve / Mackay,1,0 days 00:06:22.074000,79,89
11816,St-Antoine / Jean-Paul Riopelle,Square Viger (Berri / Viger),3,0 days 00:06:21.841000,39,839
11817,St-Hubert / de Maisonneuve (nord),de la Porte de Québec / St-André,2,0 days 00:06:21.785500,594,11
11818,Marché Maisonneuve,Ontario / Ville-Marie,35,0 days 00:06:21.455314285,330,474
11819,BAnQ (Berri),BAnQ (Berri),32,0 days 00:06:21.186593750,836,836
11820,de l'Hôtel-de-Ville / Rachel,Milton / St-Laurent,9,0 days 00:06:20.898888888,309,207
11821,Marché Atwater,Workman / Vinet,6,0 days 00:06:20.367500,306,307
11822,McTavish / Sherbrooke,Métro Lucien-L'Allier (Lucien l'Allier / Argyle),1,0 days 00:06:20.089000,608,79
11823,Métro Peel (de Maisonneuve / Stanley),Peel / Notre-Dame,74,0 days 00:06:19.951297297,62,77
11824,Émile-Duployé / Sherbrooke,Cartier / Marie-Anne,130,0 days 00:06:19.689538461,148,544
11825,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),Pierre-de-Coubertin / Aird,12,0 days 00:06:19.663166666,388,647
11826,Ste-Catherine / Bishop,Métro Georges-Vanier (St-Antoine / Canning),1,0 days 00:06:19.454000,87,308
11827,Pierre-de-Coubertin / Aird,Pierre-de-Coubertin / Aird,11,0 days 00:06:18.943545454,647,647
11828,de Maisonneuve / Aylmer (ouest),Stanley / René-Lévesque,4,0 days 00:06:18.550750,68,57
11829,Métro Laurier (Berri / St-Joseph),Métro Laurier (Berri / St-Joseph),30,0 days 00:06:18.485200,537,537
11830,Marché Atwater,St-Jacques / Vinet,1,0 days 00:06:18.417000,306,304
11831,Gary-Carter / St-Laurent,Marché Jean-Talon (Casgrain / Shamrock),24,0 days 00:06:18.317666666,396,794
11832,Ste-Catherine / St-Clément,Marché Maisonneuve,14,0 days 00:06:18.173142857,69,330
11833,Calixa-Lavallée / Rachel,du Mont-Royal / de Brébeuf,12,0 days 00:06:18.017000,143,157
11834,de la Commune / King,Square Victoria (Viger / du Square-Victoria),23,0 days 00:06:17.751521739,51,42
11835,Peel / Notre-Dame,Square Victoria (Viger / du Square-Victoria),5,0 days 00:06:17.558000,77,42
11836,Métro Champ-de-Mars (Viger / Sanguinet),Métro St-Laurent ( de Maisonneuve / St-Laurent),29,0 days 00:06:17.525689655,1,834
11837,de l'Hôtel-de-Ville / Rachel,St-Hubert / du Mont-Royal,15,0 days 00:06:17.293533333,309,187
11838,BAnQ (Berri),de la Commune / Berri,2,0 days 00:06:16.940000,836,22
11839,Métro Laurier (Berri / St-Joseph),Berri / Rachel,10,0 days 00:06:16.597700,537,545
11840,St-Jacques / Vinet,Ottawa / William,1,0 days 00:06:15.803000,304,563
11841,Laurier / St-Denis,Métro Mont-Royal (Utilités publiques / Rivard),57,0 days 00:06:15.667140350,558,347
11842,Jeanne-Mance / René-Lévesque,Cathcart / McGill College,1,0 days 00:06:15.638000,582,59
11843,St-Antoine / de la Montagne,Notre-Dame  / St-Martin,9,0 days 00:06:15.325666666,305,301
11844,St-Antoine / de la Montagne,St-Jacques / McGill,7,0 days 00:06:15.113714285,305,40
11845,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),Milton / St-Laurent,1,0 days 00:06:14.885000,823,207
11846,du Mont-Royal / de Brébeuf,du Parc-Lafontaine / Rachel,37,0 days 00:06:14.617243243,157,176
11847,Jeanne-Mance / René-Lévesque,Square Viger (Berri / Viger),7,0 days 00:06:14.201714285,582,839
11848,Notre-Dame / St-Gabriel,de la Porte de Québec / St-André,1,0 days 00:06:14.146000,24,11
11849,Messier / St-Joseph,Molson / Wiliam-Tremblay,3,0 days 00:06:13.929666666,752,886
11850,Métro Lionel-Groulx (St-Jacques / Atwater),Métro Georges-Vanier (St-Antoine / Canning),3,0 days 00:06:13.506666666,607,308
11851,Peel / Notre-Dame,St-Jacques / McGill,10,0 days 00:06:12.747900,77,40
11852,Sherbrooke / Jeanne-d'Arc,La Tour de Montréal (Pierre-de-Coubertin / Bennett),18,0 days 00:06:12.245666666,457,798
11853,du Parc-Lafontaine / Rachel,Métro Sherbrooke (de Rigaud / Berri),17,0 days 00:06:12.161470588,176,19
11854,Atwater / Sherbrooke,Workman / Vinet,1,0 days 00:06:12.082000,126,307
11855,Ottawa / William,Peel / Notre-Dame,27,0 days 00:06:11.620666666,563,77
11856,Ste-Catherine / Union,Clark / Ontario,60,0 days 00:06:11.031916666,426,3
11857,Milton / St-Laurent,Jeanne-Mance / Sherbrooke,49,0 days 00:06:10.775857142,207,122
11858,de Maisonneuve / Fullum,Métro Frontenac (Ontario / du Havre),48,0 days 00:06:10.765354166,97,109
11859,Viger / Chenneville,de la Commune / King,1,0 days 00:06:10.595000,34,51
11860,Milton / St-Laurent,de l'Hôtel-de-Ville / Rachel,13,0 days 00:06:10.112923076,207,309
11861,Robert-Bourassa / St-Maurice,des Bassins / du Séminaire,6,0 days 00:06:09.999833333,49,290
11862,Ottawa / du Séminaire,Richmond / des Bassins,25,0 days 00:06:09.943160,381,581
11863,Métro Joliette  (Hochelaga / Joliette),du Havre / Hochelaga,10,0 days 00:06:09.929700,322,80
11864,Masson / Molson,Messier / St-Joseph,14,0 days 00:06:09.397428571,780,752
11865,Ottawa / William,Smith / Peel,13,0 days 00:06:09.397076923,563,641
11866,Atwater / Sherbrooke,Ste-Catherine / Towers,19,0 days 00:06:09.347157894,126,86
11867,Jeanne-Mance / Sherbrooke,Métro Place-d'Armes (Viger / St-Urbain),27,0 days 00:06:09.320444444,122,31
11868,de l'Hôtel-de-Ville / Rachel,Parc Jeanne-Mance (du Mont-Royal / du Parc),3,0 days 00:06:08.949333333,309,220
11869,Robert-Bourassa / St-Maurice,Ste-Catherine / Union,14,0 days 00:06:08.936357142,49,426
11870,BAnQ (Berri),Métro Champ-de-Mars (Viger / Sanguinet),2,0 days 00:06:07.972000,836,1
11871,Notre-Dame  / St-Martin,St-Antoine / de la Montagne,12,0 days 00:06:07.954333333,301,305
11872,Ste-Catherine / Union,de Maisonneuve / Mansfield (sud),8,0 days 00:06:07.912875,426,26
11873,de Maisonneuve / Mansfield (sud-est),St-Antoine / de la Montagne,1,0 days 00:06:07.471000,421,305
11874,Ste-Catherine / Drummond,St-Jacques / des Seigneurs,1,0 days 00:06:07.296000,60,667
11875,Place du Canada (Peel / des Canadiens-de-Montréal),McTavish / Sherbrooke,11,0 days 00:06:07.271181818,55,608
11876,Peel / Notre-Dame,Smith / Peel,43,0 days 00:06:07.143604651,77,641
11877,Viger / Chenneville,Place d'Youville / McGill,1,0 days 00:06:07.130000,34,37
11878,Métro Papineau (Dorion / De Maisonneuve),Frontenac / Ste-Catherine,64,0 days 00:06:06.482406250,103,99
11879,Ste-Émilie / Sir-Georges-Etienne-Cartier,St-Rémi / Ste-Émilie,9,0 days 00:06:06.312000,302,379
11880,Smith / Peel,Robert-Bourassa / St-Maurice,29,0 days 00:06:06.302482758,641,49
11881,de Bleury / de Maisonneuve,Métro Peel (de Maisonneuve / Stanley),52,0 days 00:06:06.031461538,462,62
11882,Berri / Rachel,Roy / St-André,29,0 days 00:06:05.577448275,545,43
11883,Jacques-Casault / Christophe-Colomb,Complexe sportif Claude-Robillard (Émile-Journault),4,0 days 00:06:05.558750,491,517
11884,Smith / Peel,William / Robert-Bourassa,7,0 days 00:06:05.362571428,641,575
11885,Jeanne-Mance / Sherbrooke,de Maisonneuve / Mansfield (sud),12,0 days 00:06:05.116416666,122,26
11886,Chabanel / du Parc,Parc Henri-Julien (Legendre / Henri-Julien),12,0 days 00:06:05.071666666,623,287
11887,de l'Hôtel-de-Ville / Rachel,du Mont-Royal / Clark,24,0 days 00:06:04.983458333,309,218
11888,Milton / St-Laurent,des Pins / St-Laurent,48,0 days 00:06:04.680541666,207,209
11889,Atwater / Sherbrooke,Parc St-Henri (Laporte / Guay),1,0 days 00:06:04.246000,126,427
11890,Sherbrooke / Jeanne-d'Arc,Pierre-de-Coubertin / Aird,4,0 days 00:06:04.232750,457,647
11891,Métro Champ-de-Mars (Viger / Sanguinet),René-Lévesque / Panet,7,0 days 00:06:04.218571428,1,94
11892,Jeanne-Mance / Sherbrooke,des Pins / St-Laurent,127,0 days 00:06:03.786559055,122,209
11893,Ontario / Ville-Marie,Métro Viau ( Pierre-de-Coubertin / Viau),56,0 days 00:06:03.616500,474,329
11894,St-Hubert / de Maisonneuve (sud),René-Lévesque / Panet,2,0 days 00:06:03.504500,822,94
11895,Duke / Nazareth,Peel / Notre-Dame,16,0 days 00:06:03.486625,76,77
11896,Georges-Vanier / Notre-Dame,des Bassins / du Séminaire,8,0 days 00:06:03.167125,303,290
11897,Stanley / René-Lévesque,St-Jacques / McGill,15,0 days 00:06:03.085933333,57,40
11898,Ottawa / William,St-Jacques / Richmond,1,0 days 00:06:02.782000,563,673
